Partlist											
											
Part	Value	Device	Package		QTY per board		# of boards		QTY total		Digikey #
											
C1	0.01uF	50V	CAP0603		1		18		18		445-16165-1-ND
"C10, *"	0.1uF	50V	603		6		18		108		311-1344-1-ND
C5	1000pF	CAP0603	603		1		18		18		445-5736-1-ND
"C7, C9"	100pF	CAP0603	603		2		18		36		1276-2159-1-ND
C14	10uF	10V	805		1		18		18		490-3886-1-ND
"C4, C16"	1uF	50V	603		2		18		36		445-7468-1-ND
C2	2.2pF	50V	603		1		18		18		399-8791-1-ND
C6	4.7uF	CAP0603	603		1		18		18		1276-1784-1-ND
											
CN1	1X09	MALE RIGHTANGLE	1X09		1		18		18		S1111EC-09-ND
											
D1	BPW34S	PHOTODIODE4STACK-SIDEMOUNT	BPW34S-4STACK-SIDEMOUNT		4		18		72		BPW34S-ND
											
R17	10k	RESISTOR0603	603		1		18		18		P10.0KHCT-ND
R2	10M	RESISTOR0603	603		1		18		18		541-10MAYCT-ND
R15	165k	RESISTOR0603	603		1		18		18		P165KHCT-ND
R14	190k	RESISTOR0603	603		1		18		18		P191KHCT-ND
"R4, R6"	1k	RESISTOR0603	603		2		18		36		P1.00KHCT-ND
"R1, R13"	1M	RESISTOR0603	603		2		18		36		P1.00MHCT-ND
R12	3.3k	RESISTOR0603	603		1		18		18		P3.30KHCT-ND
"R5, R7"	33k	RESISTOR0603	603		2		18		36		P33.0KHCT-ND
R3	47M	RESISTOR0603	603		1		18		18		541-47MAHCT-ND
"R10, R9, R10, R11"	51k	RESISTOR0603	603		4		18		72		P51.0KHCT-ND
R16	NCP18XV103	RESISTOR0603	603		1		18		18		490-6944-1-ND
											
U1	LMP7721	OPAMP-LMP7721	SOIC-8		1		18		18		LMP7721MA/NOPB-ND
"U2, U4"	MAX4477	OPAMP-MAX4477	SOIC-8		2		18		36		MAX4477ASA+-ND
U5	50k	AD5160	SOT-23-8		1		18		18		AD5160BRJZ50-RL7CT-ND
											
Other											
Stranded Wire for Ground Shield					1		1		1		CN100B-25-ND
Roll of Aluminum Tape											Hardware Store
